run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260911T195730+0000-B-ficus-1x,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,ficus,-1,False,0.3,True,1x,1x,30000,0,34.8678,0.98722,0.01163,vgg,321864,81.11,6193,1200.2,9.889,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-ficus-12,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,ficus,-1,False,0.3,True,1x,1/2,30000,0,28.0083,0.96913,0.02259,vgg,321864,81.11,6193,1200.2,9.889,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-ficus-14,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,ficus,-1,False,0.3,True,1x,1/4,30000,0,22.1280,0.90486,0.06717,vgg,321864,81.11,6193,1200.2,9.889,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-ficus-18,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,ficus,-1,False,0.3,True,1x,1/8,30000,0,19.2270,0.82538,0.11537,vgg,321864,81.11,6193,1200.2,9.889,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-drums-1x,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,drums,-1,False,0.3,True,1x,1x,30000,0,26.1606,0.95451,0.03647,vgg,400500,100.93,5889,1492.4,8.847,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-drums-12,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,drums,-1,False,0.3,True,1x,1/2,30000,0,23.4715,0.92485,0.04390,vgg,400500,100.93,5889,1492.4,8.847,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-drums-14,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,drums,-1,False,0.3,True,1x,1/4,30000,0,19.2149,0.83228,0.09227,vgg,400500,100.93,5889,1492.4,8.847,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-drums-18,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,drums,-1,False,0.3,True,1x,1/8,30000,0,15.8403,0.69022,0.17569,vgg,400500,100.93,5889,1492.4,8.847,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-hotdog-1x,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,hotdog,-1,False,0.3,True,1x,1x,30000,0,37.7305,0.98574,0.01855,vgg,173676,43.77,4021,1253.0,8.866,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260911T195730+0000-B-hotdog-12,2026-09-11T19:57:30+00:00,3dgs,B,de7cb44c168b1cc901d7b7974153604bda1007bd,de7cb44c168b1cc901d7b7974153604bda1007bd,blender,hotdog,-1,False,0.3,True,1x,1/2,30000,0,31.2089,0.97380,0.01645,vgg,173676,43.77,4021,1253.0,8.866,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 8-scene sweep, seed 0"
