run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260912T023424+0000-B-drums-1x,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,drums,-1,True,0.3,True,multi,1x,30000,0,24.0532,0.92554,0.07618,vgg,115093,29.00,3935,923.2,8.907,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-drums-12,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,drums,-1,True,0.3,True,multi,1/2,30000,0,25.3674,0.94273,0.05139,vgg,115093,29.00,3935,923.2,8.907,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-drums-14,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,drums,-1,True,0.3,True,multi,1/4,30000,0,26.5371,0.95359,0.04189,vgg,115093,29.00,3935,923.2,8.907,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-drums-18,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,drums,-1,True,0.3,True,multi,1/8,30000,0,24.6388,0.94003,0.05298,vgg,115093,29.00,3935,923.2,8.907,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ficus-1x,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ficus,-1,True,0.3,True,multi,1x,30000,0,28.3423,0.96076,0.04159,vgg,64473,16.25,3823,705.7,10.988,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ficus-12,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ficus,-1,True,0.3,True,multi,1/2,30000,0,29.3675,0.97300,0.02785,vgg,64473,16.25,3823,705.7,10.988,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ficus-14,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ficus,-1,True,0.3,True,multi,1/4,30000,0,29.5545,0.97451,0.02465,vgg,64473,16.25,3823,705.7,10.988,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ficus-18,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ficus,-1,True,0.3,True,multi,1/8,30000,0,26.0760,0.95283,0.03803,vgg,64473,16.25,3823,705.7,10.988,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ship-1x,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ship,-1,True,0.3,True,multi,1x,30000,0,26.8593,0.86855,0.15219,vgg,170608,42.99,14405,1968.4,5.708,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
r1-20260912T023424+0000-B-ship-12,2026-09-12T02:34:24+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,ship,-1,True,0.3,True,multi,1/2,30000,0,29.0523,0.90480,0.09132,vgg,170608,42.99,14405,1968.4,5.708,Tesla T4,kaggle,L1,"C2M Blender MTMT, 30000 iters, 8-scene sweep, seed 0"
