run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260912T061202+0000-B-chair_s1-1x,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,chair,-1,False,0.3,True,1x,1x,30000,1,35.4493,0.98572,0.01294,vgg,318977,80.38,5013,1321.8,9.810,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-chair_s1-12,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,chair,-1,False,0.3,True,1x,1/2,30000,1,29.3822,0.96373,0.02224,vgg,318977,80.38,5013,1321.8,9.810,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-chair_s1-14,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,chair,-1,False,0.3,True,1x,1/4,30000,1,24.5127,0.91203,0.04383,vgg,318977,80.38,5013,1321.8,9.810,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-chair_s1-18,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,chair,-1,False,0.3,True,1x,1/8,30000,1,21.2132,0.82977,0.08279,vgg,318977,80.38,5013,1321.8,9.810,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-lego_s1-1x,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1x,30000,1,35.9432,0.98375,0.01402,vgg,355931,89.70,5085,1542.0,8.319,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-lego_s1-12,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1/2,30000,1,27.0713,0.95122,0.02970,vgg,355931,89.70,5085,1542.0,8.319,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-lego_s1-14,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1/4,30000,1,21.2713,0.85302,0.07925,vgg,355931,89.70,5085,1542.0,8.319,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-lego_s1-18,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1/8,30000,1,17.6281,0.74906,0.13153,vgg,355931,89.70,5085,1542.0,8.319,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260912T061202+0000-B-lego_s2-1x,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1x,30000,2,35.9904,0.98378,0.01404,vgg,360648,90.88,5199,1504.8,8.332,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260912T061202+0000-B-lego_s2-12,2026-09-12T06:12:02+00:00,3dgs,B,7896e78d99c3d05fd2251986d35153330da86220,7896e78d99c3d05fd2251986d35153330da86220,blender,lego,-1,False,0.3,True,1x,1/2,30000,2,27.1151,0.95153,0.02951,vgg,360648,90.88,5199,1504.8,8.332,Tesla T4,kaggle,L1,"C2S Blender STMT, 30000 iters, 2-scene sweep, seed 2"
