run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260912T103515+0000-A-drums-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,drums,-1,False,0.1,False,1x,1x,30000,0,26.1813,0.95476,0.03839,vgg,294559,74.23,4267,1355.4,9.435,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-drums-12,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,drums,-1,False,0.1,False,1x,1/2,30000,0,26.9304,0.95966,0.02954,vgg,294559,74.23,4267,1355.4,9.435,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-drums-14,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,drums,-1,False,0.1,False,1x,1/4,30000,0,26.9264,0.96028,0.03328,vgg,294559,74.23,4267,1355.4,9.435,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-drums-18,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,drums,-1,False,0.1,False,1x,1/8,30000,0,25.8859,0.95756,0.03938,vgg,294559,74.23,4267,1355.4,9.435,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ship-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ship,-1,False,0.1,False,1x,1x,30000,0,30.8125,0.90580,0.10919,vgg,339008,85.43,6107,2137.6,7.017,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ship-12,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ship,-1,False,0.1,False,1x,1/2,30000,0,31.9023,0.92787,0.06518,vgg,339008,85.43,6107,2137.6,7.017,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ship-14,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ship,-1,False,0.1,False,1x,1/4,30000,0,30.2396,0.94169,0.04561,vgg,339008,85.43,6107,2137.6,7.017,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ship-18,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ship,-1,False,0.1,False,1x,1/8,30000,0,27.0412,0.94643,0.04320,vgg,339008,85.43,6107,2137.6,7.017,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ficus-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ficus,-1,False,0.1,False,1x,1x,30000,0,35.1628,0.98785,0.01153,vgg,166804,42.04,3823,952.9,11.707,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ficus-12,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ficus,-1,False,0.1,False,1x,1/2,30000,0,34.7728,0.99104,0.00778,vgg,166804,42.04,3823,952.9,11.707,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ficus-14,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ficus,-1,False,0.1,False,1x,1/4,30000,0,32.3026,0.98906,0.01143,vgg,166804,42.04,3823,952.9,11.707,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-ficus-18,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,ficus,-1,False,0.1,False,1x,1/8,30000,0,29.7652,0.98440,0.01580,vgg,166804,42.04,3823,952.9,11.707,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-hotdog-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,hotdog,-1,False,0.1,False,1x,1x,30000,0,37.7464,0.98510,0.02119,vgg,155549,39.20,4145,1254.4,9.140,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-hotdog-12,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,hotdog,-1,False,0.1,False,1x,1/2,30000,0,38.5018,0.98944,0.01047,vgg,155549,39.20,4145,1254.4,9.140,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-hotdog-14,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,hotdog,-1,False,0.1,False,1x,1/4,30000,0,36.0774,0.98964,0.00953,vgg,155549,39.20,4145,1254.4,9.140,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-hotdog-18,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,hotdog,-1,False,0.1,False,1x,1/8,30000,0,32.3029,0.98464,0.01445,vgg,155549,39.20,4145,1254.4,9.140,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-lego-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,lego,-1,False,0.1,False,1x,1x,30000,0,35.5107,0.98224,0.01757,vgg,253232,63.82,4439,1354.2,8.518,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-lego-12,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,lego,-1,False,0.1,False,1x,1/2,30000,0,35.2763,0.98825,0.00935,vgg,253232,63.82,4439,1354.2,8.518,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-lego-14,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,lego,-1,False,0.1,False,1x,1/4,30000,0,31.9089,0.98489,0.01326,vgg,253232,63.82,4439,1354.2,8.518,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-lego-18,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,lego,-1,False,0.1,False,1x,1/8,30000,0,28.3552,0.97421,0.02474,vgg,253232,63.82,4439,1354.2,8.518,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
r1-20260912T103515+0000-A-materials-1x,2026-09-12T10:35:15+00:00,mip-splatting,A,1ecf7d53d6e131a192ac1deb5acda26b5b252946,1ecf7d53d6e131a192ac1deb5acda26b5b252946,blender,materials,-1,False,0.1,False,1x,1x,30000,0,30.1113,0.96102,0.03440,vgg,206828,52.12,4059,1165.2,9.294,Tesla T4,kaggle,L1,"L1P Blender STMT, 30000 iters, 8-scene sweep, seed 0, PROBE=pregof"
