run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T191018+0000-B-ship-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ship,-1,False,0.3,True,1x,1x,30000,0,30.3079,0.89523,0.11218,vgg,422778,106.54,11963,2403.7,6.637,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ship-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ship,-1,False,0.3,True,1x,1/2,30000,0,29.4475,0.90850,0.07555,vgg,422778,106.54,11963,2403.7,6.637,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ship-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ship,-1,False,0.3,True,1x,1/4,30000,0,26.0755,0.90606,0.06977,vgg,422778,106.54,11963,2403.7,6.637,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ship-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ship,-1,False,0.3,True,1x,1/8,30000,0,22.8143,0.89610,0.06916,vgg,422778,106.54,11963,2403.7,6.637,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ship-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ship,-1,False,0.1,False,1x,1x,30000,0,30.4821,0.89861,0.10886,vgg,442235,111.44,13755,2532.1,6.693,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ship-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ship,-1,False,0.1,False,1x,1/2,30000,0,31.5095,0.91890,0.06612,vgg,442235,111.44,13755,2532.1,6.693,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ship-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ship,-1,False,0.1,False,1x,1/4,30000,0,29.9868,0.93299,0.04855,vgg,442235,111.44,13755,2532.1,6.693,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ship-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ship,-1,False,0.1,False,1x,1/8,30000,0,26.9014,0.93969,0.04701,vgg,442235,111.44,13755,2532.1,6.693,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-drums-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,drums,-1,False,0.3,True,1x,1x,30000,0,26.3582,0.95551,0.03762,vgg,288990,72.83,4811,1354.0,9.115,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-drums-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,drums,-1,False,0.3,True,1x,1/2,30000,0,26.1475,0.95283,0.03546,vgg,288990,72.83,4811,1354.0,9.115,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
