run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T224207+0000-B-lego_s1-1x,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1x,30000,1,36.0060,0.98366,0.01542,vgg,220819,55.65,4545,1319.8,8.711,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-lego_s1-12,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/2,30000,1,31.8451,0.98004,0.01612,vgg,220819,55.65,4545,1319.8,8.711,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-lego_s1-14,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/4,30000,1,27.2354,0.95822,0.03535,vgg,220819,55.65,4545,1319.8,8.711,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-lego_s1-18,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/8,30000,1,24.1447,0.93483,0.06550,vgg,220819,55.65,4545,1319.8,8.711,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-lego_s1-1x,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1x,30000,1,35.7945,0.98356,0.01533,vgg,285614,71.98,4561,1440.6,8.641,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-lego_s1-12,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1/2,30000,1,35.3435,0.98880,0.00868,vgg,285614,71.98,4561,1440.6,8.641,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-lego_s1-14,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1/4,30000,1,31.8095,0.98461,0.01348,vgg,285614,71.98,4561,1440.6,8.641,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-lego_s1-18,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1/8,30000,1,28.2497,0.97337,0.02548,vgg,285614,71.98,4561,1440.6,8.641,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-chair_s1-1x,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,chair,-1,False,0.1,False,1x,1x,30000,1,35.9782,0.98738,0.01306,vgg,262301,66.10,4435,1294.3,8.805,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-A-chair_s1-12,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,chair,-1,False,0.1,False,1x,1/2,30000,1,37.9430,0.99244,0.00741,vgg,262301,66.10,4435,1294.3,8.805,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
