run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t3-20260912T105041+0000-mip_drums_full-1x,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1x,30000,0,26.2178,0.95507,0.03745,vgg,342771,86.38,5119,1475.6,9.057,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_drums_full-12,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1/2,30000,0,26.9519,0.95984,0.02893,vgg,342771,86.38,5119,1475.6,9.057,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_drums_full-14,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1/4,30000,0,26.9043,0.96031,0.03276,vgg,342771,86.38,5119,1475.6,9.057,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_drums_full-18,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1/8,30000,0,25.8138,0.95726,0.03921,vgg,342771,86.38,5119,1475.6,9.057,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_ship_full-1x,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ship,-1,False,0.1,False,1x/full,1x,30000,0,30.5185,0.89915,0.10834,vgg,446431,112.50,14459,2612.5,6.922,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=180deg 30000 iters
r7-t3-20260912T105041+0000-mip_ship_full-12,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ship,-1,False,0.1,False,1x/full,1/2,30000,0,31.5504,0.91953,0.06580,vgg,446431,112.50,14459,2612.5,6.922,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=180deg 30000 iters
r7-t3-20260912T105041+0000-mip_ship_full-14,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ship,-1,False,0.1,False,1x/full,1/4,30000,0,30.0285,0.93360,0.04796,vgg,446431,112.50,14459,2612.5,6.922,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=180deg 30000 iters
r7-t3-20260912T105041+0000-mip_ship_full-18,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ship,-1,False,0.1,False,1x/full,1/8,30000,0,26.9500,0.94002,0.04650,vgg,446431,112.50,14459,2612.5,6.922,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=180deg 30000 iters
r7-t3-20260912T105041+0000-b1_drums_full-1x,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1x,30000,0,26.2207,0.95507,0.03752,vgg,340281,85.75,14165,2026.9,8.876,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-b1_drums_full-12,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1/2,30000,0,26.9561,0.95982,0.02915,vgg,340281,85.75,14165,2026.9,8.876,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
