run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t2-20260912T030415+0000-b1_drums_full-1x,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,drums,-1,False,0.1,False,1x/full,1x,30000,0,26.2165,0.95516,0.03743,vgg,342550,86.32,14131,2118.5,8.308,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260912T030415+0000-b1_drums_full-12,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,drums,-1,False,0.1,False,1x/full,1/2,30000,0,26.9512,0.95993,0.02895,vgg,342550,86.32,14131,2118.5,8.308,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260912T030415+0000-b1_drums_full-14,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,drums,-1,False,0.1,False,1x/full,1/4,30000,0,26.9051,0.96037,0.03249,vgg,342550,86.32,14131,2118.5,8.308,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260912T030415+0000-b1_drums_full-18,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,drums,-1,False,0.1,False,1x/full,1/8,30000,0,25.8082,0.95714,0.03937,vgg,342550,86.32,14131,2118.5,8.308,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260912T030415+0000-b1_ship_full-1x,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ship,-1,False,0.1,False,1x/full,1x,30000,0,30.4411,0.89830,0.10914,vgg,442779,111.58,11729,3260.6,6.193,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=180deg 30000 iters
r7-t2-20260912T030415+0000-b1_ship_full-12,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ship,-1,False,0.1,False,1x/full,1/2,30000,0,31.4650,0.91850,0.06635,vgg,442779,111.58,11729,3260.6,6.193,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=180deg 30000 iters
r7-t2-20260912T030415+0000-b1_ship_full-14,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ship,-1,False,0.1,False,1x/full,1/4,30000,0,29.9831,0.93260,0.04859,vgg,442779,111.58,11729,3260.6,6.193,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=180deg 30000 iters
r7-t2-20260912T030415+0000-b1_ship_full-18,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ship,-1,False,0.1,False,1x/full,1/8,30000,0,26.9181,0.93932,0.04688,vgg,442779,111.58,11729,3260.6,6.193,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=180deg 30000 iters
r7-t2-20260912T030415+0000-b1_ficus_full-1x,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ficus,-1,False,0.1,False,1x/full,1x,30000,0,35.1820,0.98792,0.01140,vgg,187166,47.17,11327,1378.6,10.341,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260912T030415+0000-b1_ficus_full-12,2026-09-12T03:04:15+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,ficus,-1,False,0.1,False,1x/full,1/2,30000,0,34.7807,0.99107,0.00774,vgg,187166,47.17,11327,1378.6,10.341,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
