run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
t3m-t3-20260912T052237+0000-mip_lego_mixed-1x,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1x,30000,0,33.9440,0.97583,0.02535,vgg,285095,71.85,7349,1218.7,8.251,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_lego_mixed-12,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/2,30000,0,35.4303,0.98678,0.01095,vgg,285095,71.85,7349,1218.7,8.251,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_lego_mixed-14,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/4,30000,0,34.9855,0.98882,0.00852,vgg,285095,71.85,7349,1218.7,8.251,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_lego_mixed-18,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/8,30000,0,30.8446,0.98064,0.01726,vgg,285095,71.85,7349,1218.7,8.251,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-b1_lego_mixed-1x,2026-09-12T05:22:37+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1x,30000,0,33.9349,0.97582,0.02545,vgg,283135,71.35,9869,1678.4,8.116,Tesla T4,kaggle,L2,T3M table3 b1-fisher protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-b1_lego_mixed-12,2026-09-12T05:22:37+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/2,30000,0,35.4204,0.98679,0.01105,vgg,283135,71.35,9869,1678.4,8.116,Tesla T4,kaggle,L2,T3M table3 b1-fisher protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-b1_lego_mixed-14,2026-09-12T05:22:37+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/4,30000,0,34.9803,0.98883,0.00851,vgg,283135,71.35,9869,1678.4,8.116,Tesla T4,kaggle,L2,T3M table3 b1-fisher protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-b1_lego_mixed-18,2026-09-12T05:22:37+00:00,b1-fisher,C,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,lego,-1,False,0.1,False,1x/mixed,1/8,30000,0,30.8541,0.98067,0.01719,vgg,283135,71.35,9869,1678.4,8.116,Tesla T4,kaggle,L2,T3M table3 b1-fisher protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_chair_mixed-1x,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,chair,-1,False,0.1,False,1x/mixed,1x,30000,0,34.6090,0.98251,0.01749,vgg,227774,57.40,3847,1013.5,10.154,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_chair_mixed-12,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,chair,-1,False,0.1,False,1x/mixed,1/2,30000,0,37.4160,0.99102,0.00882,vgg,227774,57.40,3847,1013.5,10.154,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_chair_mixed-14,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,chair,-1,False,0.1,False,1x/mixed,1/4,30000,0,37.4339,0.99003,0.01150,vgg,227774,57.40,3847,1013.5,10.154,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
t3m-t3-20260912T052237+0000-mip_chair_mixed-18,2026-09-12T05:22:37+00:00,mip-splatting,A,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,207e07117a2c54f87a0f3ea391cdb99b52a4e99f,blender,chair,-1,False,0.1,False,1x/mixed,1/8,30000,0,34.1875,0.98342,0.01855,vgg,227774,57.40,3847,1013.5,10.154,Tesla T4,kaggle,L2,T3M table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
