run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
t3p-t3-20260912T000832+0000-mip_lego_pencil-1x,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1x,30000,0,12.7924,0.62441,0.36431,vgg,174862,44.07,3157,1413.1,7.365,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-mip_lego_pencil-12,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/2,30000,0,12.8968,0.58595,0.38176,vgg,174862,44.07,3157,1413.1,7.365,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-mip_lego_pencil-14,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/4,30000,0,13.0962,0.56784,0.39154,vgg,174862,44.07,3157,1413.1,7.365,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-mip_lego_pencil-18,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/8,30000,0,13.3702,0.57091,0.39649,vgg,174862,44.07,3157,1413.1,7.365,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-mip_chair_pencil-1x,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1x,30000,0,14.2293,0.71770,0.31741,vgg,141733,35.72,3107,1024.5,8.243,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-mip_chair_pencil-12,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/2,30000,0,14.3525,0.67495,0.34086,vgg,141733,35.72,3107,1024.5,8.243,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-mip_chair_pencil-14,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/4,30000,0,14.5351,0.63901,0.36305,vgg,141733,35.72,3107,1024.5,8.243,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-mip_chair_pencil-18,2026-09-12T00:08:32+00:00,mip-splatting,A,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/8,30000,0,14.7778,0.61465,0.37704,vgg,141733,35.72,3107,1024.5,8.243,Tesla T4,kaggle,L2,T3P table3 mip-splatting protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-b1_lego_pencil-1x,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1x,30000,0,13.0088,0.64540,0.36451,vgg,175480,44.22,13747,3238.8,6.334,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-b1_lego_pencil-12,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/2,30000,0,13.0986,0.60003,0.38053,vgg,175480,44.22,13747,3238.8,6.334,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-b1_lego_pencil-14,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/4,30000,0,13.2869,0.57916,0.38853,vgg,175480,44.22,13747,3238.8,6.334,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-b1_lego_pencil-18,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,lego,-1,False,0.1,False,1x/pencil,1/8,30000,0,13.5736,0.58309,0.39308,vgg,175480,44.22,13747,3238.8,6.334,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=20deg 30000 iters
t3p-t3-20260912T000832+0000-b1_chair_pencil-1x,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1x,30000,0,14.4463,0.73681,0.31421,vgg,141909,35.76,14779,2638.6,7.929,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-b1_chair_pencil-12,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/2,30000,0,14.5532,0.69017,0.33714,vgg,141909,35.76,14779,2638.6,7.929,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-b1_chair_pencil-14,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/4,30000,0,14.7172,0.65155,0.35842,vgg,141909,35.76,14779,2638.6,7.929,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=29deg 30000 iters
t3p-t3-20260912T000832+0000-b1_chair_pencil-18,2026-09-12T00:08:32+00:00,b1-fisher,C,b03abd481e14d4d4b57a50312f2fa680186823f7,b03abd481e14d4d4b57a50312f2fa680186823f7,blender,chair,-1,False,0.1,False,1x/pencil,1/8,30000,0,14.9406,0.62398,0.37802,vgg,141909,35.76,14779,2638.6,7.929,Tesla T4,kaggle,L2,T3P table3 b1-fisher protocol=pencil n_cam=3 span=29deg 30000 iters
