run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t3-20260911T183335+0000-mip_lego_full-1x,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1x,30000,0,35.8996,0.98378,0.01504,vgg,292946,73.82,4597,1520.4,7.525,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_full-12,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/2,30000,0,35.4542,0.98904,0.00853,vgg,292946,73.82,4597,1520.4,7.525,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_full-14,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/4,30000,0,31.8579,0.98481,0.01337,vgg,292946,73.82,4597,1520.4,7.525,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_full-18,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/8,30000,0,28.2783,0.97350,0.02533,vgg,292946,73.82,4597,1520.4,7.525,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_full-1x,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1x,30000,0,35.8773,0.98373,0.01511,vgg,291214,73.39,10085,2149.7,7.427,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_full-12,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/2,30000,0,35.4342,0.98897,0.00857,vgg,291214,73.39,10085,2149.7,7.427,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_full-14,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/4,30000,0,31.8515,0.98475,0.01337,vgg,291214,73.39,10085,2149.7,7.427,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_full-18,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/full,1/8,30000,0,28.2739,0.97347,0.02544,vgg,291214,73.39,10085,2149.7,7.427,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_arc-1x,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1x,30000,0,30.5666,0.95018,0.04274,vgg,278569,70.20,4041,1502.9,7.808,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_arc-12,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/2,30000,0,30.9914,0.96090,0.02956,vgg,278569,70.20,4041,1502.9,7.808,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_arc-14,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/4,30000,0,29.7407,0.96556,0.02696,vgg,278569,70.20,4041,1502.9,7.808,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_arc-18,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/8,30000,0,27.3215,0.96139,0.03314,vgg,278569,70.20,4041,1502.9,7.808,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_arc-1x,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1x,30000,0,30.5229,0.94988,0.04364,vgg,280085,70.58,14129,1856.4,7.521,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=arc n_cam=25 span=93deg 30000 iters
